id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66,NA,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,NA,https://en.wikipedia.org/wiki/Aleknagik_Airport,NA
3,AGGH,medium_airport,Honiara International Airport,-9.4280004501343,160.05499267578,28,OC,SB,SB-CT,Honiara,yes,AGGH,HIR,NA,NA,https://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field
4,AGGM,medium_airport,Munda Airport,-8.327969551086426,157.26300048828125,10,OC,SB,SB-WE,NA,yes,AGGM,MUA,NA,NA,https://en.wikipedia.org/wiki/Munda_Airport,NA
8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22,OC,NR,NR-14,Yaren District,yes,ANYN,INU,NA,NA,https://en.wikipedia.org/wiki/Nauru_International_Airport,ANAU
314558,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,4560,AS,CN,CN-15,Bayanhot,yes,ZBAL,AXF,NA,NA,https://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport,NA
53,AYBK,medium_airport,Buka Airport,-5.4223198890686035,154.67300415039062,11,OC,PG,PG-NSB,Buka Island,yes,AYBK,BUA,NA,NA,https://en.wikipedia.org/wiki/Buka_Airport,NA
54,AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,4974,OC,PG,PG-CPK,Kundiawa,yes,AYCH,CMU,NA,NA,https://en.wikipedia.org/wiki/Chimbu_Airport,NA
55,AYDU,medium_airport,Daru Airport,-9.08675956726,143.207992554,20,OC,PG,PG-WPD,Daru,yes,AYDU,DAU,NA,NA,https://en.wikipedia.org/wiki/Daru_Airport,NA
56,AYGA,medium_airport,Goroka Airport,-6.081689834590001,145.391998291,5282,OC,PG,PG-EHG,Goronka,yes,AYGA,GKA,NA,NA,https://en.wikipedia.org/wiki/Goroka_Airport,NA
57,AYGN,medium_airport,Gurney Airport,-10.3114995956,150.333999634,88,OC,PG,PG-MBA,Gurney,yes,AYGN,GUR,NA,NA,https://en.wikipedia.org/wiki/Gurney_Airport,NA
58,AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,311,OC,PG,PG-NPP,Popondetta,yes,AYGR,PNP,NA,NA,https://en.wikipedia.org/wiki/Girua_Airport,NA
59,AYHK,medium_airport,Kimbe Airport,-5.462170124053955,150.40499877929688,66,OC,PG,PG-WBK,Hoskins,yes,AYHK,HKN,NA,NA,https://en.wikipedia.org/wiki/Hoskins_Airport,NA
60,AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10,OC,PG,PG-GPK,Kerema,yes,AYKM,KMA,NA,NA,https://en.wikipedia.org/wiki/Kerema_Airport,NA
61,AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7,OC,PG,PG-NIK,Kavieng,yes,AYKV,KVG,NA,NA,https://en.wikipedia.org/wiki/Kavieng_Airport,NA
