ukprn,he_provider,academic_year,country_of_he_provider,region_of_he_provider,category_marker,category,value
10007783,The University of Aberdeen,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007783,The University of Aberdeen,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Residential,Medium
10007783,The University of Aberdeen,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10007849,University of Abertay Dundee,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10007849,University of Abertay Dundee,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Residential,NA
10007849,University of Abertay Dundee,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10007856,Aberystwyth University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10007856,Aberystwyth University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Residential,NA
10007856,Aberystwyth University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10000163,AECC University College,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10000163,AECC University College,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Residential,NA
10000163,AECC University College,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10000291,Anglia Ruskin University,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10000291,Anglia Ruskin University,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Residential,Medium
10000291,Anglia Ruskin University,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10007759,Aston University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10007759,Aston University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Residential,NA
10007759,Aston University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10007857,Bangor University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10007857,Bangor University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Residential,NA
10007857,Bangor University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10000571,Bath Spa University,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10000571,Bath Spa University,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Residential,NA
10000571,Bath Spa University,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10007850,The University of Bath,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10007850,The University of Bath,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Residential,NA
10007850,The University of Bath,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10007152,University of Bedfordshire,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10007152,University of Bedfordshire,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Residential,Detailed
10007152,University of Bedfordshire,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10005343,Queen's University Belfast,2018/19,Northern Ireland,Northern Ireland,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10005343,Queen's University Belfast,2018/19,Northern Ireland,Northern Ireland,Method of Scope 3 carbon emissions from waste,Residential,Medium
10005343,Queen's University Belfast,2018/19,Northern Ireland,Northern Ireland,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10007760,Birkbeck College,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007760,Birkbeck College,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,NA
10007760,Birkbeck College,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10007140,Birmingham City University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007140,Birmingham City University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Residential,Medium
10007140,Birmingham City University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10000712,University College Birmingham,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10000712,University College Birmingham,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Residential,Basic
10000712,University College Birmingham,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10007811,Bishop Grosseteste University,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007811,Bishop Grosseteste University,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007811,Bishop Grosseteste University,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10006841,The University of Bolton,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Non-residential,NA
